# This histogram has 20000 entries
# Total under/overflows = 16/0
# mean =        500.1    std_dev =          217
# bin            X             Y             EY
   0            10            11          3.317
   1            30            12          3.464
   2            50            34          5.831
   3            70            64              8
   4            90            85           9.22
   5           110           147          12.12
   6           130           188          13.71
   7           150           245          15.65
   8           170           384           19.6
   9           190           423          20.57
  10           210           521          22.83
  11           230           607          24.64
  12           250           719          26.81
  13           270           751           27.4
  14           290           786          28.04
  15           310           777          27.87
  16           330           789          28.09
  17           350           708          26.61
  18           370           645           25.4
  19           390           533          23.09
  20           410           432          20.78
  21           430           328          18.11
  22           450           257          16.03
  23           470           207          14.39
  24           490           127          11.27
  25           510            76          8.718
  26           530            66          8.124
  27           550           102           10.1
  28           570           182          13.49
  29           590           275          16.58
  30           610           446          21.12
  31           630           665          25.79
  32           650           877          29.61
  33           670          1174          34.26
  34           690          1337          36.57
  35           710          1206          34.73
  36           730          1226          35.01
  37           750           905          30.08
  38           770           708          26.61
  39           790           430          20.74
  40           810           289             17
  41           830           122          11.05
  42           850            74          8.602
  43           870            30          5.477
  44           890             7          2.646
  45           910             6          2.449
  46           930             0              0
  47           950             1              1
  48           970             0              0
  49           990             0              0
