# This histogram has 30000 entries
# Total under/overflows = 0/0
# mean =   -0.0009139    std_dev =        3.722
# bin            X             Y             EY
   0          -9.8           197          14.04
   1          -9.4           208          14.42
   2            -9           213          14.59
   3          -8.6           217          14.73
   4          -8.2           233          15.26
   5          -7.8           189          13.75
   6          -7.4           182          13.49
   7            -7           205          14.32
   8          -6.6           198          14.07
   9          -6.2           197          14.04
  10          -5.8           211          14.53
  11          -5.4           237          15.39
  12            -5           284          16.85
  13          -4.6           327          18.08
  14          -4.2           367          19.16
  15          -3.8           500          22.36
  16          -3.4           559          23.64
  17            -3           720          26.83
  18          -2.6           930           30.5
  19          -2.2          1040          32.25
  20          -1.8          1202          34.67
  21          -1.4          1459           38.2
  22            -1          1608           40.1
  23          -0.6          1697          41.19
  24          -0.2          1785          42.25
  25           0.2          1804          42.47
  26           0.6          1692          41.13
  27             1          1580          39.75
  28           1.4          1460          38.21
  29           1.8          1264          35.55
  30           2.2          1074          32.77
  31           2.6           893          29.88
  32             3           747          27.33
  33           3.4           592          24.33
  34           3.8           476          21.82
  35           4.2           348          18.65
  36           4.6           304          17.44
  37             5           312          17.66
  38           5.4           248          15.75
  39           5.8           239          15.46
  40           6.2           210          14.49
  41           6.6           211          14.53
  42             7           192          13.86
  43           7.4           199          14.11
  44           7.8           209          14.46
  45           8.2           206          14.35
  46           8.6           190          13.78
  47             9           191          13.82
  48           9.4           196             14
  49           9.8           198          14.07
