# This histogram has 10000 entries
# Total under/overflows = 0/1
# mean =         1000    std_dev =        116.6
# bin            X             Y             EY
   0            15             0              0
   1            45             0              0
   2            75             0              0
   3           105             0              0
   4           135             0              0
   5           165             0              0
   6           195             0              0
   7           225             0              0
   8           255             0              0
   9           285             0              0
  10           315             0              0
  11           345             0              0
  12           375             0              0
  13           405             0              0
  14           435             0              0
  15           465             0              0
  16           495             1              1
  17           525             1              1
  18           555             0              0
  19           585             1              1
  20           615             9              3
  21           645            10          3.162
  22           675            21          4.583
  23           705            38          6.164
  24           735            83           9.11
  25           765           152          12.33
  26           795           218          14.76
  27           825           314          17.72
  28           855           441             21
  29           885           648          25.46
  30           915           767          27.69
  31           945           945          30.74
  32           975           981          31.32
  33          1005          1006          31.72
  34          1035           980           31.3
  35          1065           918           30.3
  36          1095           725          26.93
  37          1125           616          24.82
  38          1155           422          20.54
  39          1185           280          16.73
  40          1215           168          12.96
  41          1245           126          11.22
  42          1275            68          8.246
  43          1305            37          6.083
  44          1335            13          3.606
  45          1365             4              2
  46          1395             6          2.449
  47          1425             0              0
  48          1455             0              0
  49          1485             0              0
