# This histogram has 1000 entries
# Total under/overflows = 0/0
# mean =        20.33    std_dev =          4.6
# bin            X             Y             EY
   0           0.5             0              0
   1           1.5             0              0
   2           2.5             0              0
   3           3.5             0              0
   4           4.5             0              0
   5           5.5             0              0
   6           6.5             1              1
   7           7.5             1              1
   8           8.5             0              0
   9           9.5             2          1.414
  10          10.5             5          2.236
  11          11.5            10          3.162
  12          12.5            13          3.606
  13          13.5            25              5
  14          14.5            35          5.916
  15          15.5            47          6.856
  16          16.5            61           7.81
  17          17.5            88          9.381
  18          18.5            88          9.381
  19          19.5            73          8.544
  20          20.5            85           9.22
  21          21.5            74          8.602
  22          22.5            81              9
  23          23.5            84          9.165
  24          24.5            48          6.928
  25          25.5            48          6.928
  26          26.5            33          5.745
  27          27.5            25              5
  28          28.5            25              5
  29          29.5            18          4.243
  30          30.5             7          2.646
  31          31.5            13          3.606
  32          32.5             3          1.732
  33          33.5             3          1.732
  34          34.5             2          1.414
  35          35.5             2          1.414
  36          36.5             0              0
  37          37.5             0              0
  38          38.5             0              0
  39          39.5             0              0
  40          40.5             0              0
  41          41.5             0              0
  42          42.5             0              0
  43          43.5             0              0
  44          44.5             0              0
  45          45.5             0              0
  46          46.5             0              0
  47          47.5             0              0
  48          48.5             0              0
  49          49.5             0              0
